Client Name,Client ABN,Date Published,Parent Organisation,Org ABN,is_energy
Jandakot Airport Holdings Pty Ltd,57081643156,15/11/2023,Purple Communications Australia Pty Ltd,37108802366,0
Janssen,81557114620,12/07/2017,OGILVY HEALTH PTY LTD,62 114 807 877,0
Janssen-Cilag,47 000 129 975,20/09/2023,Provocate Pty Ltd,42 622 384 525,0
JBS Australia Pty Ltd,,06/06/2017,Scott Mitchell and Partners Pty Ltd,80617178453,0
JDRF Australia,40 002 286 553,14/09/2023,A.GR Advisors Pty Ltd,56665229112,0
JELE CHEMISTS PTY LTD,,16/09/2022,BB Win Win Outcomes,91671079056,0
JELLINBAH GROUP PTY LTD,54 010 754 793,04/03/2024,Northstar Public Affairs Pty Ltd,25638744046,0
JERA Australia Pty Ltd,68140147048,22/03/2024,A.GR Advisors Pty Ltd,56665229112,0
JERA Australia Pty Ltd,68 140 147 048,30/07/2024,Lunik Pty Ltd,83615178571,0
Jera Australia Pty Ltd,68 140 147 048,17/07/2024,Anacta Strategies Pty Ltd,64633978677,0
Jigsaw Group,87 624 033 487,08/07/2020,Asys Consulting,74068259683,0
JobDNA.me Pty Ltd,86 622 684 860,04/12/2023,SP Maher and SL Maher,29560969499,0
JobDNA.me Pty Ltd,86 622 684 860,09/01/2024,GovTech Australia Pty Ltd,51673743890,0
Johnathon Thurston Academy,24618611475,01/07/2025,Red Rocket Pty Ltd,87 662 027 358,0
JOHNS LYNG GROUP LIMITED,86620466248,16/06/2016,PRX Unit Trust,71595434578,0
Johnson & Johnson Medical,85 000 160 403,20/09/2023,Provocate Pty Ltd,42 622 384 525,0
Johnson and Johnson Medical,,02/07/2014,OGILVY HEALTH PTY LTD,62 114 807 877,0
Joint Funding Solutions limited,,30/06/2025,SEC Newgate Pty Limited,38162366056,0
Joshua Dale Johnstone,,17/07/2025,Dr Cameron Francis Hogan,67595207069,0
J-Power Australia Pty Ltd,59 002 307 682,03/09/2024,TG Public Affairs Pty Ltd,23630677673,1
JRS Health Pty Ltd,35 682 425 387,18/03/2025,Delta Advisory Pty Limited,70 667 068 760,0
Julalikari Council Aboriginal Corporation,52109391552,13/02/2024,Mark Coffey Consulting,35636125776,0
Junior Adventures Group Pty Ltd,,26/07/2018,GRACosway Pty Ltd,50082123822,0
Juniper Biologics Pty Ltd,97655479897,23/02/2022,Kirchmann Management Consultants Pty Ltd,34837287161,0
Jurlique International Pty Ltd,40 064 901 131,01/07/2025,Alistair Nicholas Consulting Pty Ltd,81 655 939 852,0
Just Excellence Investments Pty Ltd,,01/03/2010,CRAKYL Pty Ltd,40105759279,0
Justice Reform Initiative,68 640 446 448,18/07/2022,The Shape Agency,67618969332,0
Kalari HSE,14 004 595 395,01/06/2023,PRX Unit Trust,71595434578,0
Kalbar Operations,30 635 720 759,06/06/2022,RedBridge Group Pty Ltd,11650587867,0
Kalmm Investment and Advisory Pty Ltd,41 669 836 864,18/02/2025,Confluence Partners Pty Ltd,64682820355,0
Kandui Technologies Pty Ltd,73642894755,08/02/2024,Wilkinson Butler Pty Ltd,95164204111,0
Kathryn Stanford Consulting,65 647 757 597,09/11/2023,Wilkinson Butler Pty Ltd,95164204111,0
Kawasaki Heavy Industries Ltd,,31/01/2024,GRACosway Pty Ltd,50082123822,0
Kellogg Brown & Root Pty Ltd,91007660317,27/04/2016,The Trustee for Arthur Trust,63272133108,0
Kellogg Brown & Root Pty Ltd,91 007 660 317,15/12/2023,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
Kellogg Brown & Root Pty Ltd,91 007 660 317,14/04/2025,Stirling Advisory Pty Ltd,65657724199,0
Kentucky Fried Chicken Pty Ltd,79 000 587 780,28/04/2021,GRACosway Pty Ltd,50082123822,0
Kilo Victor Golf Pty Ltd,29 684 334 978,14/07/2025,The Straya Group Australia Pty Ltd,62 671 948 164,0
KimberlyClark Australia,,05/06/2018,Meso Consulting Pty Ltd,77103564254,0
KimberlyClark Corporation,,05/06/2018,Meso Consulting Pty Ltd,77103564254,0
KimberlyClark Professional Asia Pacific,,05/06/2018,Meso Consulting Pty Ltd,77103564254,0
Kindred Community Ltd,89 634 519 341,12/02/2025,Lady & Professor Pty Ltd,16642238702,0
Kinetic Transportation,54 882 513 897,06/06/2022,PR4PR Pty Ltd,89634536351,0
Kingspan Insulation Australasia,44100405025,27/07/2023,Jill Johnson Media Pty Ltd,93619527954,0
KIRINARI COMMUNITY SERVICES LTD.,34 090 653 946,23/01/2025,York Park Group Pty Ltd,49642775577,0
KISMET HEALTHCARE PTY LTD,92 661 419 076,07/07/2025,EJF Advisory Pty Ltd,91 659 678 047,0
KKR,,01/03/2010,The Trustee for Bespoke Business Trust,86231566780,0
"Klein Marine Systems, Inc",,30/06/2016,Seismic Asia Pacific Pty Ltd,31083755104,0
Kmart Australia Limited,73 004 700 485,28/02/2024,Banksia Strategic Partners Pty Ltd,50660359866,0
KMART AUSTRALIA LIMITED,73004700485,11/07/2013,PRX Unit Trust,71595434578,0
"KnectIQ, Inc",,17/07/2025,PYNE AND PARTNERS PTY LTD,81634747363,0
Knudsen Engineering Limited,,24/02/2015,Seismic Asia Pacific Pty Ltd,31083755104,0
Kongsberg Defence & Aerospace (Norway),,14/07/2022,LOPAC Consulting Pty Limited,84150667486,0
Kooth,,10/02/2025,Forsius Technology Consulting,70543558011,0
Korea Corporate Investment Holdings Co. Ltd.,,23/01/2025,SEC Newgate Pty Limited,38162366056,0
KPT Restructuring Pty Ltd,71 672 117 403,10/01/2025,Staerk Solutions Pty Ltd,58 678 758 275,0
KRAIT CORPORATION PTY LIMITED,76 631 571 250,10/11/2020,Operational Legal Australia Pty Ltd,79632066669,0
Kraken,36 630 697 102,23/01/2025,TG Public Affairs Pty Ltd,23630677673,0
Kronos Australia Pty Ltd,17 074 408 067,28/01/2025,BDAAS Consulting Pty Ltd,62164001969,0
Kumul Petroleum Holdings Limited,,17/01/2019,Wilkinson Butler Pty Ltd,95164204111,1
Kwinana WTE Project Co Pty Ltd,65 165 661 263,16/07/2024,Clarity Corporate Communications Pty Ltd,80086277787,0
KYOWA KIRIN AUSTRALIA PTY LTD,47 631 934 453,05/11/2020,Precision Public Affairs Pty Ltd,42639299415,0
L.C. Dyson's Bus Services Pty Ltd,99 004 436 542,14/07/2025,PRX Unit Trust,71595434578,0
L’Oréal Australia Pty Ltd,40 004 191 673,02/09/2022,PYNE AND PARTNERS PTY LTD,81634747363,0
L3 Harris Technologies Inc,,01/07/2022,Jenkins Engineering defence Systems Pty Ltd,40003842126,0
L3Harris Technologies Australia Group Pty Ltd,61 654 390 146,24/05/2024,PYNE AND PARTNERS PTY LTD,81634747363,0
L3HARRIS TECHNOLOGIES AUSTRALIA GROUP PTY LTD,61 654 390 146,13/11/2023,Precision Public Affairs Pty Ltd,42639299415,0
La Trobe University,,08/06/2023,TG Public Affairs Pty Ltd,23630677673,0
La Trobe University,64 804 735 113,14/02/2025,Resolve Corporate Affairs Consulting,98 234 782 982,0
Lala Hospitality Group Pty Ltd,99627037469,15/07/2025,Australian Corporate Advisory Pty Ltd,20654592926,0
Laos Animal Farm Corporation,,09/01/2024,GovTech Australia Pty Ltd,51673743890,0
Large Format Retail Association Limited,31131555612,13/02/2018,Primary Communication Partners Pty Limited,36617864347,0
Lateral Aspect,96 288 567 189,21/10/2024,Counsel House Pty Ltd,35631919009,0
Latrobe City Council,92 472 314 133,13/02/2025,Collective Position Group Pty Ltd,18169904232,0
LAVA BLUE LTD,11 605 427 478,24/05/2023,Convaim Pty Ltd,69628935133,0
Law In Order,,09/10/2012,Richardson Coutts Pty Ltd,82378912405,0
Lawley Pharmaceuticals Pty Ltd,12 095 973 523,03/04/2025,Sheela Consulting,85 297 925 399,0
LECA,,04/10/2022,CPI Strategic Pty Ltd,47139102891,0
Leda Holdings,67001404557,18/03/2025,Discourse Consulting Pty Ltd,49 090 692 014,0
Leda Holdings Pty Ltd,67001404557,26/03/2025,Iemma Patterson Premier Advisory,53830148273,0
Leda Holdings Pty Ltd,67 001 404 557,10/01/2025,Staerk Solutions Pty Ltd,58 678 758 275,0
LEGO Singapore,,08/11/2024,Richardson Coutts Pty Ltd,82378912405,0
Leidos Australia Pty Ltd,79612590155,30/04/2024,TG Public Affairs Pty Ltd,23630677673,0
Lendlease Pty Ltd,,25/09/2019,TG Public Affairs Pty Ltd,23630677673,0
Levin Health Ltd,19 620 368 710,01/07/2021,Asys Consulting,74068259683,0
Liberty Holdings Australia Ltd,16627011938,14/01/2020,Michael Johnson Associates Pty Limited,65003644657,0
Libra Energy Pty Ltd,55 668 200 619,06/12/2024,Crisis&Comms Co Pty Ltd,56637786899,1
Life Without Barriers,15 101 252 171,26/06/2025,SEC Newgate Pty Limited,38162366056,0
Life Without Barriers/A20,15101252171,18/03/2025,Discourse Consulting Pty Ltd,49 090 692 014,0
Lighting Council Australia Limited,64 130 217 613,19/11/2024,SAS Consulting Group Pty Ltd,33136520548,0
Lime Network Pty Ltd,21628322930,23/01/2025,Premier State Consulting Pty Ltd,26149964189,0
Lime Network Pty Ltd,21628322930,23/01/2025,PremierNational Pty Ltd,71619450841,0
LINESOFT PTY. LTD,84 606 633 443,23/01/2025,DPG Advisory Solutions,14634403115,0
Linfox,,04/08/2022,Milner Strategic Services,24957388494,0
LINK AIRWAYS PTY LTD,96641733600,17/02/2025,Scott Mitchell and Partners Pty Ltd,80617178453,0
Linkedin Australia Pty Limited,82 140 982 243,27/07/2023,Precision Public Affairs Pty Ltd,42639299415,0
Lion,13 008 596 370,12/04/2023,Principle Advisory Pty Ltd,29657059848,0
Lion,,24/01/2013,Res Publica Pty Ltd,63103178258,0
"Lion-Beer, Spirits & Wine Pty Ltd",13008596370,03/06/2025,PremierNational Pty Ltd,71619450841,0
"Lion-Beer, Spirits & Wine Pty Ltd",13008596370,03/06/2025,Premier State Consulting Pty Ltd,26149964189,0
Lionel Samson Group Pty Ltd,27008731244,27/03/2020,The Trustee for THE D & W CHRISTISON FAMILY TRUST,70997483976,0
Lions Hearing Dogs Inc,37976454009,04/11/2022,ALPHA Consult Pty Ltd,39612003460,0
Liontown Resources Limited,39 118 153 825,01/11/2023,GRA Partners Pty Ltd,56131702755,0
LiS Energy Limited,12 634 839 857,25/07/2023,National Advisory Pty Ltd,29634573363,1
Lite n' Easy Pty Ltd (ABN 33 010 655 820),33010655820,07/12/2023,H/Advisors APA Pty Ltd,60074901545,0
Litecard Pty Ltd,42 649 825 301,07/02/2023,Paramul Pty Ltd,37140000602,0
LIVIUM LTD,29126129413,15/11/2023,CPR Communications & Public Relations Pty Ltd,94064357544,0
Lixia Pty Ltd,21 632 689 779,01/07/2025,Red Rocket Pty Ltd,87 662 027 358,0
LMS Energy,,23/09/2022,DPG Advisory Solutions,14634403115,1
Lochard Energy (Iona Operations) Trust,25 151 811 449,18/06/2024,The Trustee for Sage Energy Advisors Trust,17501385748,1
Lockelec Rolling Stock,54 634 831 860,22/04/2024,Axiom Public Policy,68 666 723 691,0
Lockheed Martin Australia,30008425509,17/07/2020,GCB STRATOS CONSULTING PTY LTD,36608484920,0
Lockheed Martin Australia,30 008 425 509,14/07/2025,TG Public Affairs Pty Ltd,23630677673,0
Lockheed Martin Australia Pty Ltd,30008425509,19/07/2023,Sodali & Co Pty Ltd,90 122 943 131,0
Lode Resources,52064585360,10/02/2025,Forsius Technology Consulting,70543558011,0
L'Oreal Australia Pty Ltd,40004191673,01/02/2022,Kirchmann Management Consultants Pty Ltd,34837287161,0
Lorq Building Pty Ltd,52 623 309 142,08/07/2024,BB Win Win Outcomes,91671079056,0
Low Emission Technology Australia,,09/02/2023,TG Public Affairs Pty Ltd,23630677673,0
LUMA PICTURES PTY LTD,83 160 645 429,19/06/2025,Hawker Britton Group Pty Ltd,79109681405,0
LUMARY PTY LTD,46 620 036 704,03/07/2025,Hawker Britton Group Pty Ltd,79109681405,0
Lumi Health,,13/02/2024,Jannette Cotterell,51364113263,0
LUMILA FILMS PTY LTD,63131955523,24/05/2024,Walter William Secord,48219768150,0
Lundbeck Australia,86070094290,08/11/2021,MD Media Pty Limited,53 106 441 650,0
Lung Foundation Australia,,04/10/2018,OGILVY HEALTH PTY LTD,62 114 807 877,0
LUYTEN 3D PTY LTD,45 646 145 020,07/03/2023,PYNE AND PARTNERS PTY LTD,81634747363,0
Lymphoma Australia Limited,36 709 461 048,09/02/2023,OGILVY HEALTH PTY LTD,62 114 807 877,0
M Resources Trading Pty Ltd,58 156 582 320,18/10/2021,Crisis&Comms Co Pty Ltd,56637786899,0
M.R ASHBY & Others,41 945 982 761,02/05/2025,Premier State Consulting Pty Ltd,26149964189,0
M.R ASHBY & Others,41 945 982 761,02/05/2025,PremierNational Pty Ltd,71619450841,0
MA Financial Group Limited,68 142 008 428,04/10/2023,SEC Newgate Pty Limited,38162366056,0
Macdoch Group,68130198266,10/02/2020,The Fifth Estate Consultancy Pty Ltd,51069838222,0
Macquarie Group Limited,94122169279,16/12/2022,Principle Advisory Pty Ltd,29657059848,0
Macquarie University,90 952 801 237,07/07/2025,EJF Advisory Pty Ltd,91 659 678 047,0
Macular Disease Foundation Australia,,20/04/2020,OGILVY HEALTH PTY LTD,62 114 807 877,0
Madalah Ltd,51136001397,02/02/2023,CGM Communications Pty Ltd,66619642858,0
MAF OCEANIA PTY LTD,24 007 075 649,16/06/2025,Hawker Britton Group Pty Ltd,79109681405,0
MAG Aerospace Australia Pty,74 613 313 830,26/08/2024,"Maddison, Paul Andrew",19114390556,0
Magnetite Mines Limited,34 108 102 432,30/01/2024,Mission Consulting Solutions Pty Ltd,55 662 274 286,0
Magnetite Network,,01/03/2010,Megan Anwyl,13159060561,0
Mahboba's Promise Incorporated,85 254 682 685,15/03/2022,Northstar Public Affairs Pty Ltd,25638744046,0
Maia Technology,19605252042,27/11/2019,The Fifth Estate Consultancy Pty Ltd,51069838222,0
Major General (retired) Mike Smith,,03/06/2025,Yogya Santai Pty Ltd,14086099621,0
Malabar Resources,29151691468,02/04/2020,SEC Newgate Pty Limited,38162366056,0
Mallee Family Care,32085588656,08/11/2023,Salus Advisory Pty Ltd,77282880834,0
Manthos Investments Pty Ltd,31 005 265 261,16/08/2022,PR4PR Pty Ltd,89634536351,0
Manufacturing Australia,,14/02/2019,TG Public Affairs Pty Ltd,23630677673,0
Marand Precision Engineering Pty Ltd,,29/01/2020,TG Public Affairs Pty Ltd,23630677673,0
Marand Precision Engineering Pty Ltd,59 004 763 688,08/09/2020,PRX Unit Trust,71595434578,0
Marinus Link,47630194562,03/02/2025,SECOND SUN MEDIA PTY LTD,25 633 329 174,0
MARITIME INDUSTRY AUSTRALIA LTD,73 006 627 934,17/10/2024,SEC Newgate Pty Limited,38162366056,0
Maritime Robotics,,08/02/2022,Seismic Asia Pacific Pty Ltd,31083755104,0
Marra Worra Worra Aboriginal Corporation,97 272 775 547,15/07/2025,GRA Partners Pty Ltd,56131702755,0
Mars Australia Pty Ltd,48008454313,13/03/2020,GRACosway Pty Ltd,50082123822,0
Martinus Rail Pty Ltd,90 117 147 645,15/03/2022,Northstar Public Affairs Pty Ltd,25638744046,0
Mary Spiteri,,12/07/2022,BusinessAide Pty Ltd,11127557448,0
Master Electricians Australia,,31/03/2011,SAS Consulting Group Pty Ltd,33136520548,0
Master Grocers Australia Limited,44 004 063 263,17/12/2024,Sapphire Executive Business Services,17 661 600 504,0
Mastercard Asia/Pacific (Australia) Pty Ltd,95108603345,19/05/2025,Willard Public Affairs Pty Limited,17165851856,0
Match Group LLC,,01/09/2020,National Advisory Pty Ltd,29634573363,0
MATES IN CONSTRUCTION (AUST) LIMITED,,08/05/2015,SAS Consulting Group Pty Ltd,33136520548,0
Matrix Composites & Engineering Pty Ltd,54 009 435 250,17/07/2025,PYNE AND PARTNERS PTY LTD,81634747363,0
MaxSil Pty Ltd,49648206179,01/07/2024,Greenbox Advisory Pty Ltd,65625260933,0
Maxsum Solutions Pty Ltd,67 102 287 212,01/06/2023,PRX Unit Trust,71595434578,0
MAXXIA PTY LTD,39082449036,22/02/2018,PRX Unit Trust,71595434578,0
Mayur Resources,36619770277,13/11/2022,Milner Strategic Services,24957388494,0
Mazzei Group Pty Ltd,36 620 085 707,30/08/2024,Horizon GR Pty Ltd,72 652 169 170,0
MBDA,65434268716,03/08/2017,Lunik Pty Ltd,83615178571,0
McCain Foods Australia New Zealand,,01/02/2016,Porter Novelli Australia Pty Ltd,40079616050,0
McDonald's Australia Limited,43 008 496 928,02/11/2023,GRACosway Pty Ltd,50082123822,0
McGrathNicol,,18/10/2019,Sefiani Communications Group Pty Ltd,86090759032,0
McLean Care Ltd (ABN 88 124 860 019),88124860019,21/12/2023,H/Advisors APA Pty Ltd,60074901545,0
MDF Global,97 637 394 579,17/10/2024,SAS Consulting Group Pty Ltd,33136520548,0
Meadow Creek Solar Farm Pty Ltd,76 650 485 635,25/10/2024,The Civic Partnership Pty Ltd,71652574171,0
Medcast,,11/07/2024,Jannette Cotterell,51364113263,0
Medibank Private Limited,47 080 890 259,20/08/2024,TG Public Affairs Pty Ltd,23630677673,0
Medical Oncology Group of Australia,,17/01/2013,Jannette Cotterell,51364113263,0
Medical One Services Pty Ltd,92623808152,23/08/2023,H/Advisors APA Pty Ltd,60074901545,0
Medical Technology Association of Australia,61129334354,20/09/2023,Provocate Pty Ltd,42 622 384 525,0
Medical Technology Association of Australia Limited,61 129 334 354,14/02/2025,OGILVY HEALTH PTY LTD,62 114 807 877,0
Medicinal Cannabis Industry Australia,36 624 947 360,03/02/2025,Corporate Affairs Advisory,99264276296,0
Medison Pharma Australia PTY Limited,19 659 723 403,03/02/2023,Nexus APAC Pty Ltd,76615655699,0
Medlab Pathology Pty Ltd,93088071041,16/09/2020,Cornerstone Group Australia Pty Ltd,99153936719,0
Medtronic Australasia,47001162661,08/03/2024,A.GR Advisors Pty Ltd,56665229112,0
MEGT Group Training,79 103 051 074,16/04/2025,PolicyWonks,50463070316,0
MELANOMA AND SKIN CANCER ADVOCACY NETWORK LTD,29 635 259 497,14/02/2024,OGILVY HEALTH PTY LTD,62 114 807 877,0
Melanoma and Skin Cancer Trials Limited,70 626 908 512,05/06/2020,PRX Unit Trust,71595434578,0
Melanoma Institute Australia,35 123 321 148,29/02/2024,DPG Advisory Solutions,14634403115,0
Melanoma Institute of Australia,,11/06/2020,Premier Strategy Pty Ltd,63106038304,0
Melanoma Patients Australia,30 123 091 912,09/06/2021,Nexus APAC Pty Ltd,76615655699,0
Melbourne City Mission,56 161 846 149,08/10/2024,Social Change Projects Pty Ltd,60676321270,0
Melbourne Motorsport Park,,28/01/2025,Strategic Policy Advice Victoria Pty Ltd,79631133474,0
Menulog Group Ltd,76120943615,03/02/2020,Cornerstone Group Australia Pty Ltd,99153936719,0
Merck Healthcare Pty Ltd,72 006 900 830,06/07/2023,TJ Health Comms,64705249956,0
Merck Serono Australia Pty Ltd,,01/03/2010,Richardson Coutts Pty Ltd,82378912405,0
Merck Sharp & Dohme (Australia) Pty Limited,,16/01/2014,Jannette Cotterell,51364113263,0
Merri Community Health Services Limited,24 550 946 840,22/04/2024,Axiom Public Policy,68 666 723 691,0
Meta,83 134 012 543,22/07/2022,Principle Advisory Pty Ltd,29657059848,0
Metallicum Minerals Corporation,19 662 212 937,05/08/2024,Capetal Advisory Pty Ltd,86615732182,0
Metallicum Minerals Corporation,,31/01/2025,Leonis Advisory,26381028834,0
Metallicum Minerals Corporation Pty Ltd,19 662 212 937,02/10/2024,Counsel House Pty Ltd,35631919009,0
Metcash Limited (ABN 32 112 073 480),32112073480,04/04/2025,H/Advisors APA Pty Ltd,60074901545,0
Metrea Australia Pty Ltd,,17/10/2024,Counsel House Pty Ltd,35631919009,0
Metrics Credit Partners Pty Ltd,27 150 646 996,06/05/2025,GRACosway Pty Ltd,50082123822,0
Metro Mining Limited,45 1177 634 43,14/07/2025,PolicyWonks,50463070316,0
MGA Whittles,77 088 100 118,09/12/2022,Trustee for the Colt Consulting Trust,82 323 362 075,0
Michelin,,13/07/2021,Hawker Britton Group Pty Ltd,79109681405,0
Midfield Meat International Pty Ltd,78 065 864 904,08/02/2022,PRX Unit Trust,71595434578,0
Midfield Meat International Pty Ltd,78065864904,03/02/2025,Royce Communications Pty Ltd,91167042408,0
Mind Medicine Australia Limited,62630150873,22/10/2024,Hawker Britton Group Pty Ltd,79109681405,0
"MIND Technology, Inc.",,08/02/2022,Seismic Asia Pacific Pty Ltd,31083755104,0
Minderoo Foundation,24819440618,14/03/2025,Sarah Rheinberger Consulting,33698840385,0
Minderoo Foundation,,02/03/2018,Jannette Cotterell,51364113263,0
Minderoo Foundation,18 098 198 684,16/07/2020,SEC Newgate Pty Limited,38162366056,0
Minderoo Foundation / Walk Free,47 204 978 079,12/10/2021,Advisory Street,28613329472,0
Minderoo Group PTY Lltd,,02/03/2018,Jannette Cotterell,51364113263,0
Minerals Council of Australia,21191309229,03/02/2023,Headline Advisory Pty Ltd,73268549885,0
Miners' Promise Limited,45 167 390 598,30/06/2025,Corporate Affairs Australia Pty Ltd,87 629 216 262,0
Minerva Network,35 626 030 671,07/06/2024,SEC Newgate Pty Limited,38162366056,0
Minesco Pty Ltd,48 103 808 760,23/12/2021,BusinessAide Pty Ltd,11127557448,0
Mirabou Energy,72107557111,05/06/2025,Milner Strategic Services,24957388494,1
Missing Persons Advocacy Network,56606576914,17/07/2024,"HUGH-JONES, CHARLES RUPERT",52312264983,0
MissingSchool,77164124450,07/02/2024,Bourke Street Advisory,54 075 139 609,0
Mission Australia,15 000 002 522,30/05/2025,Social Change Projects Pty Ltd,60676321270,0
MISSION AUSTRALIA,15000002522,04/11/2024,Hawker Britton Group Pty Ltd,79109681405,0
Mitsubishi Heavy Industries Ltd,,23/09/2024,Indo Pacific Advisory Pty Ltd,78669769859,0
Mitsui E&P Australia Pty Ltd,45108437529,20/09/2018,GRA Partners Pty Ltd,56131702755,0
Moderna Australia PTY LTD,65 650 204 872,28/02/2023,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
Molico Pty Ltd,52169196061,25/08/2023,Molico Pty Ltd,52169196061,0
Momentum Intelligence Pty Ltd,50 624 168 618,17/02/2022,Precision Public Affairs Pty Ltd,42639299415,0
Monash Mens Shed,90609155162,17/09/2013,Gregory Robert Male,,0
Monash Partners,,02/01/2020,Jannette Cotterell,51364113263,0
Monash University,12 377 614 012,31/10/2024,The Civic Partnership Pty Ltd,71652574171,0
MONASH UNIVERSITY,12 377 614 012,16/06/2025,Hawker Britton Group Pty Ltd,79109681405,0
Mondelez Australia Pty Ltd,,29/01/2015,SEC Newgate Pty Limited,38162366056,0
MOOD STATE MEDICAL PTY LTD,71676619917,03/06/2025,The Trustee for Neagle Family Trust,55305718177,0
Moorabbin Airport Chamber of Commerce Inc,32465826389,03/06/2025,Moorabbin Airport Chamber of Commerce Inc (MACCI),32 465 826 389,0
Moore Australia Pty Ltd,32052362348,16/06/2016,PRX Unit Trust,71595434578,0
Morgana &  Sons Pty Ltd,16 108 582 422,13/02/2024,BusinessAide Pty Ltd,11127557448,0
Moriarty Foundation Limited,39149339284,09/01/2020,H/Advisors APA Pty Ltd,60074901545,0
Mortgage and Finance Association of Australia,,12/04/2016,GRACosway Pty Ltd,50082123822,0
MOTOR NEURONE DISEASE ASSOC OF AUSTRALIA INCORPORATED,52 650 269 176,24/01/2025,London Agency Pty Ltd,73145352147,0
Motor Trades Association of Australia,,09/04/2024,Jannette Cotterell,51364113263,0
MOTOROLA SOLUTIONS AUSTRALIA,16 004 742 312,03/02/2023,Lunik Pty Ltd,83615178571,0
Mott Macdonald,13134120353,01/05/2024,McCredie Partners Pty Ltd,16623627332,0
Mount Pritchard & District Community Club Limited,98 000 458 622,07/03/2025,Crestview Strategy Pty Ltd,66675929343,0
Mount Pritchard & District Community Club Ltd,98000458622,10/07/2024,Cornerstone Group Australia Pty Ltd,99153936719,0
MP Space Pty Ltd,40 675 384 906,10/06/2025,Nicholas Harry Chilton,33913200853,0
Mr John Star,,09/07/2024,Dr Cameron Francis Hogan,67595207069,0
Ms Kimberly Kram,,09/07/2024,Dr Cameron Francis Hogan,67595207069,0
Mt Barker Council (SA),,23/10/2018,Iain Evans as Trustee for the Iain Evans Consulting Trust,69284760614,0
MTM Critical Minerals,27 645 885 463,12/07/2024,CGM Communications Pty Ltd,66619642858,0
MUFG Pension & Market Services Holdings Limited,27120964098,10/06/2025,Northstar Public Affairs Pty Ltd,25638744046,0
Mulawa Management Pty Ltd,24009598896,12/02/2020,Paramul Pty Ltd,37140000602,0
MULTIPLE SCLEROSIS RESEARCH AUSTRALIA LIMITED,34 008 581 431,11/12/2024,Dunn & Co Advisory Pty Ltd,92 646 493 665,0
Multiplex Constructions Pty Ltd,,14/04/2022,TG Public Affairs Pty Ltd,23630677673,0
Mundipharma Pty Ltd,,01/03/2010,Kirchmann Management Consultants Pty Ltd,34837287161,0
Murdoch Children's Research Institute,21 006 566 972,18/07/2022,Hawker Britton Group Pty Ltd,79109681405,0
Murdoch Children's Research Institute,21 006 566 972,13/09/2022,RedBridge Group Pty Ltd,11650587867,0
Murujuga Aboriginal Corporation,51 627 395 274,05/06/2025,Horizon GR Pty Ltd,72 652 169 170,0
Museum of Chinese Australian History,,16/04/2025,York Park Group Pty Ltd,49642775577,0
MyDNA,,02/01/2020,Jannette Cotterell,51364113263,0
MyEco Group Ltd,,20/03/2025,CPR Communications & Public Relations Pty Ltd,94064357544,0
MYELOID THERAPEUTICS PTY LTD,40 650 134 295,17/07/2025,Principle Advisory Pty Ltd,29657059848,0
MyState Limited,26 133 623 962,13/07/2020,Advisory Street,28613329472,0
Nanosonics Limited,11 095 076 896,26/03/2025,GRACosway Pty Ltd,50082123822,0
Narwie Partnership,11 285 204 476,04/09/2024,Arche Holdings Pty Ltd,81 654 257 833,0
Nation Management Pty Ltd,41 668 109 037,05/04/2024,The Premier Communications Group Pty Ltd.,73137508555,0
NATIONAL ABORIGINAL AND TORRES STRAIT ISLANDER HOUSING ASSOCIATION LIMITED,70646448142,27/09/2024,JO SCARD PTY LTD,29145634224,0
National Advisory Pty Ltd,29634573363,16/01/2020,Shaw Advisory Pty Ltd,29626157015,0
National Apprentice Employment Network,,01/02/2018,The Trustee for the Bowden Family Trust,31267269201,0
National Association of Women in Construction,66 070 113 192,20/03/2024,TG Public Affairs Pty Ltd,23630677673,0
National Automotive Leasing and Salary Packaging Association,55 169 223 161,06/10/2021,Cornerstone Group Australia Pty Ltd,99153936719,0
National Automotive Leasing and Salary Packaging Association,,05/08/2019,DPG Advisory Solutions,14634403115,0
NATIONAL CHILDREN'S AND YOUTH LAW CENTRE,73062253874,10/01/2025,EJF Advisory Pty Ltd,91 659 678 047,0
National Credit Providers Association,,21/01/2019,SAS Consulting Group Pty Ltd,33136520548,0
National Electrical and Communications Association NSW,,18/01/2018,Wilkinson Butler Pty Ltd,95164204111,0
National Grid Company Pty Ltd,65641870868,06/01/2021,Advanced Outcomes,59719341477,0
National Heart Foundation of Australia,98008419761,26/07/2024,The Civic Partnership Pty Ltd,71652574171,0
National Heart Foundation of Australia,98008419761,26/07/2024,CPR Communications & Public Relations Pty Ltd,94064357544,0
NATIONAL HEART FOUNDATION OF AUSTRALIA,98 008 419 761,14/07/2021,OGILVY HEALTH PTY LTD,62 114 807 877,0
NATIONAL INSTITUTE FOR ABORIGINAL AND TORRES STRAIT ISLANDER HEALTH RESEARCH LTD.,70 138 780 695,23/06/2025,Hawker Britton Group Pty Ltd,79109681405,0
National Institute of Dramatic Art,99000257741,04/07/2022,Hawker Britton Group Pty Ltd,79109681405,0
National Insurance Brokers Association of Australia,94 006 093 849,19/09/2024,Counsel House Pty Ltd,35631919009,0
